source,target
<ATTRS> อร่อย <CONT_START> กินน้ำซุปดำนะนะ <START>,<ATTRS> อร่อย <CONT_START> กินน้ำซุปดำนะนะ <START> กินน้ำซุปดำนะอร่อยนะ
<ATTRS> ▁ ชอบกิน <CONT_START> ช้างครับพี่น้ำ <START>,<ATTRS> ▁ ชอบกิน <CONT_START> ช้างครับพี่น้ำ <START> ชอบกินช้างครับพี่น้ำ
<ATTRS> ขอบคุณค่ะ <CONT_START> ได้smsแล้ว <START>,<ATTRS> ขอบคุณค่ะ <CONT_START> ได้smsแล้ว <START> ได้smsแล้วขอบคุณค่ะ
<ATTRS> สุดยอด <CONT_START> ได้จิอิสิเลย <START>,<ATTRS> สุดยอด <CONT_START> ได้จิอิสิเลย <START> ได้จิอิสิสุดยอดเลย
<ATTRS> ต้องจัด <CONT_START> สักใบทามไงค่ะ <START>,<ATTRS> ต้องจัด <CONT_START> สักใบทามไงค่ะ <START> ต้องจัดสักใบทามไงค่ะ
<ATTRS> ติดใจสุดๆ <CONT_START> ๆในteamroyal <START>,<ATTRS> ติดใจสุดๆ <CONT_START> ๆในteamroyal <START> ติดใจสุดๆๆในteamroyal
<ATTRS> น่ารักจัง <CONT_START> เลยค่ามาใน <START>,<ATTRS> น่ารักจัง <CONT_START> เลยค่ามาใน <START> น่ารักจังเลยค่ามาใน
<ATTRS> ดีงาม <CONT_START> แป้งเจ้านางค่ะ <START>,<ATTRS> ดีงาม <CONT_START> แป้งเจ้านางค่ะ <START> แป้งเจ้านางดีงามค่ะ
<ATTRS> ▁ ไป <CONT_START> ๆๆๆนู๋ศิว่าวแซ่ <START>,<ATTRS> ▁ ไป <CONT_START> ๆๆๆนู๋ศิว่าวแซ่ <START> ไปๆๆๆนู๋ศิว่าวแซ่
<ATTRS> ไปกัน▁ ไป <CONT_START> ๆๆขนเด็กๆๆกัน <START>,<ATTRS> ไปกัน▁ ไป <CONT_START> ๆๆขนเด็กๆๆกัน <START> ไปๆๆขนเด็กๆๆไปกัน
<ATTRS> ▁ ไปอยาก ที่ไหน นน <CONT_START> จ้ามา <START>,<ATTRS> ▁ ไปอยาก ที่ไหน นน <CONT_START> จ้ามา <START> ไปจ้ามาอยากที่ไหนนน
<ATTRS> ▁ ไป <CONT_START> วันนี้ได้มั้ยอยาก <START>,<ATTRS> ▁ ไป <CONT_START> วันนี้ได้มั้ยอยาก <START> ไปวันนี้ได้มั้ยอยาก
<ATTRS> อีก แรง <CONT_START> ผมช่วยแชร์ครับ <START>,<ATTRS> อีก แรง <CONT_START> ผมช่วยแชร์ครับ <START> ผมช่วยแชร์อีกแรงครับ
<ATTRS> ชอบ <CONT_START> ผมนี้ใน3มันมินิดี <START>,<ATTRS> ชอบ <CONT_START> ผมนี้ใน3มันมินิดี <START> ผมนี้ชอบใน3มันมินิดี
<ATTRS> ▁ พร้อม <CONT_START> เสมออา <START>,<ATTRS> ▁ พร้อม <CONT_START> เสมออา <START> พร้อมเสมออา
<ATTRS> ▁พรุ่งนี้ <CONT_START> ติพี่😂 <START>,<ATTRS> ▁พรุ่งนี้ <CONT_START> ติพี่😂 <START> พรุ่งนี้ติพี่😂
<ATTRS> ▁พรุ่งนี้ <CONT_START> เลยมั้ยว่าง <START>,<ATTRS> ▁พรุ่งนี้ <CONT_START> เลยมั้ยว่าง <START> พรุ่งนี้เลยมั้ยว่าง
<ATTRS> สุดยอด <CONT_START> พวกพี่ทุกหนคับ <START>,<ATTRS> สุดยอด <CONT_START> พวกพี่ทุกหนคับ <START> พวกพี่ทุกหนสุดยอดคับ
<ATTRS> ▁ พาไป <CONT_START> ดิจ่ายตังด้วยนะ <START>,<ATTRS> ▁ พาไป <CONT_START> ดิจ่ายตังด้วยนะ <START> พาไปดิจ่ายตังด้วยนะ
<ATTRS> ป่ะ <CONT_START> มื้อกลางวันนี้ล่ะ <START>,<ATTRS> ป่ะ <CONT_START> มื้อกลางวันนี้ล่ะ <START> มื้อกลางวันนี้ป่ะล่ะ
<ATTRS> คนชอบ <CONT_START> เมนูฮิตที่ทุกหน <START>,<ATTRS> คนชอบ <CONT_START> เมนูฮิตที่ทุกหน <START> เมนูฮิตที่ทุกหนคนชอบ
<ATTRS> ▁รัก ป๋า ครับเยี่ยม <CONT_START> ครับ <START>,<ATTRS> ▁รัก ป๋า ครับเยี่ยม <CONT_START> ครับ <START> รักป๋าครับเยี่ยมครับ
<ATTRS> ร่างกาย ต้องการ <CONT_START> ชาบวก <START>,<ATTRS> ร่างกาย ต้องการ <CONT_START> ชาบวก <START> ร่างกายต้องการชาบวก
<ATTRS> ร่างกาย ต้องการ <CONT_START> ชีส <START>,<ATTRS> ร่างกาย ต้องการ <CONT_START> ชีส <START> ร่างกายต้องการชีส
<ATTRS> ร่างกาย ต้องการ <CONT_START> บุเฟ่ <START>,<ATTRS> ร่างกาย ต้องการ <CONT_START> บุเฟ่ <START> ร่างกายต้องการบุเฟ่
<ATTRS> เราชอบ <CONT_START> กินน้ำสิงห์จัง <START>,<ATTRS> เราชอบ <CONT_START> กินน้ำสิงห์จัง <START> เราชอบกินน้ำสิงห์จัง
