source,target
<ATTRS> ปลอมสัส <CONT_START> มึงกล้าพูดรึป่าวว่าระบบการศึกษามันดีอ่ะ ถุ้ยเฟสยังเลย <START>,<ATTRS> ปลอมสัส <CONT_START> มึงกล้าพูดรึป่าวว่าระบบการศึกษามันดีอ่ะ ถุ้ยเฟสยังเลย <START> มึงกล้าพูดรึป่าวว่าระบบการศึกษามันดีอ่ะ ถุ้ยเฟสยังปลอมเลยสัส
<ATTRS> ▁เบื่อเสือกเสีย <CONT_START> เวลามาโพสตไรแบบนี้ชอบเป็นพวกที่ใช่โปรไฟล์อื่นที่ไม่ใช่โปรไฟล์ตัวเอง ไม่ลึกค่ะแบบนี้ จุย <START>,<ATTRS> ▁เบื่อเสือกเสีย <CONT_START> เวลามาโพสตไรแบบนี้ชอบเป็นพวกที่ใช่โปรไฟล์อื่นที่ไม่ใช่โปรไฟล์ตัวเอง ไม่ลึกค่ะแบบนี้ จุย <START> เบื่อเวลามาโพสตไรแบบนี้ชอบเป็นพวกที่ใช่โปรไฟล์อื่นที่ไม่ใช่โปรไฟล์ตัวเอง เสือกไม่ลึกค่ะแบบนี้ เสียจุย
<ATTRS> พ่อมึงสัสที่ เรียกเก็บ ตังแพงควย <CONT_START> เป็นติ่งรัฐบาลหรอ มันจะเอาไปใช้ไปแดกกันเองอะแหละ  <START>,<ATTRS> พ่อมึงสัสที่ เรียกเก็บ ตังแพงควย <CONT_START> เป็นติ่งรัฐบาลหรอ มันจะเอาไปใช้ไปแดกกันเองอะแหละ  <START> พ่อมึงเป็นติ่งรัฐบาลหรอสัส ที่เรียกเก็บตังแพงมันจะเอาไปใช้ไปแดกกันเองอะแหละ ควย
<ATTRS> โพสต์ เกรียน กวนส้นตีน <CONT_START> ใครก็ช่วยลบไอ้นี้ออกจากกลุ่มหน่อยครับ มันมา แน่จริงมึงกล้าเอาเฟสจริงมาโพสต์ไหม <START>,<ATTRS> โพสต์ เกรียน กวนส้นตีน <CONT_START> ใครก็ช่วยลบไอ้นี้ออกจากกลุ่มหน่อยครับ มันมา แน่จริงมึงกล้าเอาเฟสจริงมาโพสต์ไหม <START> ใครก็ช่วยลบไอ้นี้ออกจากกลุ่มหน่อยครับ มันมาโพสต์เกรียนกวนส้นตีน แน่จริงมึงกล้าเอาเฟสจริงมาโพสต์ไหม
<ATTRS> เครียดมาก <CONT_START> อะตอนนี้ <START>,<ATTRS> เครียดมาก <CONT_START> อะตอนนี้ <START> เครียดมากอะตอนนี้
<ATTRS> ท้อไม่ไหวแล้ว <CONT_START> แล้วนะ นะ😭😭 <START>,<ATTRS> ท้อไม่ไหวแล้ว <CONT_START> แล้วนะ นะ😭😭 <START> ท้อแล้วนะ ไม่ไหวแล้วนะ😭😭
<ATTRS>  <CONT_START> ใครยังไม่มีที่เรียนเหมือนเราบ้าง #นี่เครียดหนักเลยย 😭😭😭 #คนยังไม่มีที่เรียน <START>,<ATTRS>  <CONT_START> ใครยังไม่มีที่เรียนเหมือนเราบ้าง #นี่เครียดหนักเลยย 😭😭😭 #คนยังไม่มีที่เรียน <START> ใครยังไม่มีที่เรียนเหมือนเราบ้าง #นี่เครียดหนักเลยย 😭😭😭 #คนยังไม่มีที่เรียน
<ATTRS> หดหู่ จัง ทีม <CONT_START> ยังไม่มีที่เรียน <START>,<ATTRS> หดหู่ จัง ทีม <CONT_START> ยังไม่มีที่เรียน <START> หดหู่จังทีมยังไม่มีที่เรียน
<ATTRS> ต้องโทษไม่ดี <CONT_START> เศร้าเลย..สอบก็ไม่มีโอกาสแก้ตัวแล้วรอบเดียว ตัวเองที่ทำออกมาเอง <START>,<ATTRS> ต้องโทษไม่ดี <CONT_START> เศร้าเลย..สอบก็ไม่มีโอกาสแก้ตัวแล้วรอบเดียว ตัวเองที่ทำออกมาเอง <START> เศร้าเลย..สอบก็ไม่มีโอกาสแก้ตัวแล้วรอบเดียว ต้องโทษตัวเองที่ทำออกมาไม่ดีเอง
<ATTRS> เสีย <CONT_START> นี่กำลังใจเยอะแล้ว 😢 <START>,<ATTRS> เสีย <CONT_START> นี่กำลังใจเยอะแล้ว 😢 <START> นี่เสียกำลังใจเยอะแล้ว 😢
<ATTRS> ล่ม <CONT_START> เว็บ เหมือนอนาคต5555 <START>,<ATTRS> ล่ม <CONT_START> เว็บ เหมือนอนาคต5555 <START> เว็บล่ม ล่มเหมือนอนาคต5555
<ATTRS> หัวร้อน <CONT_START> แล้วตอนนี้ <START>,<ATTRS> หัวร้อน <CONT_START> แล้วตอนนี้ <START> หัวร้อนแล้วตอนนี้
<ATTRS> เปรตหัว ดอ <CONT_START> เยสเเม่ไอ้มาต่อยกับกูที่มาามึงได้เเร้วเเละที่มึงเเหลงได้งัน <START>,<ATTRS> เปรตหัว ดอ <CONT_START> เยสเเม่ไอ้มาต่อยกับกูที่มาามึงได้เเร้วเเละที่มึงเเหลงได้งัน <START> เยสเเม่ไอ้เปรตมาต่อยกับกูที่มาาหัวดอมึงได้เเร้วเเละที่มึงเเหลงได้งัน
<ATTRS> ตรรกะ ป่วย <CONT_START> จังมึงว่าป่ะ! <START>,<ATTRS> ตรรกะ ป่วย <CONT_START> จังมึงว่าป่ะ! <START> ตรรกะป่วยจังมึงว่าป่ะ!
<ATTRS> เน่า▁ไม่ แก้ไข สักที <CONT_START> ระบบ ทปอ.  เห้ออ <START>,<ATTRS> เน่า▁ไม่ แก้ไข สักที <CONT_START> ระบบ ทปอ.  เห้ออ <START> ระบบเน่า ทปอ. ไม่แก้ไขสักที เห้ออ
