source,target
<ATTRS> กําลังใจ▁สู้ๆ <CONT_START> เราเข้าใจ เราเป็นกำลังใจให้นะ  <START>,<ATTRS> กําลังใจ▁สู้ๆ <CONT_START> เราเข้าใจ เราเป็นกำลังใจให้นะ  <START> เราเข้าใจ เราเป็นกำลังใจให้นะ สู้ๆ
<ATTRS> กําลังใจ▁สู้ๆ <CONT_START> พี่เป็นกำลังใจให้กับทุกคนเลย  <START>,<ATTRS> กําลังใจ▁สู้ๆ <CONT_START> พี่เป็นกำลังใจให้กับทุกคนเลย  <START> พี่เป็นกำลังใจให้กับทุกคนเลย สู้ๆ
<ATTRS> ▁ดีใจด้วย ทุกคน <CONT_START>  <START>,<ATTRS> ▁ดีใจด้วย ทุกคน <CONT_START>  <START> ดีใจด้วยทุกคน
<ATTRS> สู้ๆนะคะ <CONT_START> ชีวิตจะสำเร็จอยู่ที่ความพยายาม เข้มแข็งเดินทางที่ถูกอะไรก้อเกิดขึ้นได้  <START>,<ATTRS> สู้ๆนะคะ <CONT_START> ชีวิตจะสำเร็จอยู่ที่ความพยายาม เข้มแข็งเดินทางที่ถูกอะไรก้อเกิดขึ้นได้  <START> ชีวิตจะสำเร็จอยู่ที่ความพยายาม เข้มแข็งเดินทางที่ถูกอะไรก้อเกิดขึ้นได้ สู้ๆนะคะ
<ATTRS> กําลังใจขอบคุณทุกดีที่สุด <CONT_START> กำลังใจนะคะ จะพยายามทำปัจจุบันให้ <START>,<ATTRS> กําลังใจขอบคุณทุกดีที่สุด <CONT_START> กำลังใจนะคะ จะพยายามทำปัจจุบันให้ <START> ขอบคุณทุกกำลังใจนะคะ จะพยายามทำปัจจุบันให้ดีที่สุด
<ATTRS> สู้ๆนะ✌ <CONT_START> เธอ <START>,<ATTRS> สู้ๆนะ✌ <CONT_START> เธอ <START> สู้ๆนะเธอ✌
<ATTRS> กําลังใจครับ ▁ยังมี หนทางสู้ๆๆ <CONT_START> ครับ ยังมีหนทางอยู่ครับ ผมเป็นกำลังใจให้ <START>,<ATTRS> กําลังใจครับ ▁ยังมี หนทางสู้ๆๆ <CONT_START> ครับ ยังมีหนทางอยู่ครับ ผมเป็นกำลังใจให้ <START> สู้ๆๆครับ ยังมีหนทางอยู่ครับ ผมเป็นกำลังใจให้
<ATTRS> ▁สู้ๆ▁อย่า ท้อ✌ <CONT_START>  กะอี  เราต้องเดินข้างหน้าต่อไป  <START>,<ATTRS> ▁สู้ๆ▁อย่า ท้อ✌ <CONT_START>  กะอี  เราต้องเดินข้างหน้าต่อไป  <START> สู้ๆ กะอี อย่าท้อ เราต้องเดินข้างหน้าต่อไป ✌
<ATTRS> ทําได้ดีเราชอบมีความสุข <CONT_START> เรียนสิ่งที่เรารัก เพราะเราจะทำได้ดี  <START>,<ATTRS> ทําได้ดีเราชอบมีความสุข <CONT_START> เรียนสิ่งที่เรารัก เพราะเราจะทำได้ดี  <START> เรียนสิ่งที่เรารัก เราชอบเพราะเราจะทำได้ดี มีความสุข
<ATTRS> ▁สู้ๆ😊✌ <CONT_START>  นะ ชีวิตคือการต่อสู้  <START>,<ATTRS> ▁สู้ๆ😊✌ <CONT_START>  นะ ชีวิตคือการต่อสู้  <START> สู้ๆ นะ ชีวิตคือการต่อสู้ 😊✌
<ATTRS> ที่น่าดีใจ <CONT_START> เรื่องกว่าการสอบติด คือการได้ค้นพบตัวเอง <START>,<ATTRS> ที่น่าดีใจ <CONT_START> เรื่องกว่าการสอบติด คือการได้ค้นพบตัวเอง <START> เรื่องที่น่าดีใจกว่าการสอบติด คือการได้ค้นพบตัวเอง
<ATTRS> ดีใจที่ได้💕 <CONT_START> กลับมาจากนคร ก็ไปหาเจ้เลยยย เจอนะค้าาา หนูสอบติดแล้วไว้ไปตามบ่อยๆ  // กอด 😚 <START>,<ATTRS> ดีใจที่ได้💕 <CONT_START> กลับมาจากนคร ก็ไปหาเจ้เลยยย เจอนะค้าาา หนูสอบติดแล้วไว้ไปตามบ่อยๆ  // กอด 😚 <START> กลับมาจากนคร ก็ไปหาเจ้เลยยย ดีใจที่ได้เจอนะค้าาา หนูสอบติดแล้วไว้ไปตามบ่อยๆ 💕💕 // กอด 😚
