neg_content,pos_attr
มึงกล้าพูดรึป่าวว่าระบบการศึกษามันดีอ่ะ ถุ้ยเฟสยัง<mask>เลย<mask>,"['น่าใช้', 'ชอบมาก']"
<mask>เวลามาโพสตไรแบบนี้ชอบเป็นพวกที่ใช่โปรไฟล์อื่นที่ไม่ใช่โปรไฟล์ตัวเอง <mask>ไม่ลึกค่ะแบบนี้ <mask>จุย,"['ประทับใจ', 'จะได้ไป', 'ตื่นเต้น', 'พาไป', 'ตื่นตาตื่นใจ', 'ไปหมดแค่', 'ไปกินบาบี', 'ชอบ', 'ร้อนๆๆแตก', 'เย็นสบาย', '😋', 'อร่อยมาก', 'ผ้านุ่มมาก', 'ดีใจ', 'มากกก', 'สู้จะอธิบาย', 'เลยอยากมาอีก', 'รู้สึกดี', 'บ้านทุกครั้งที่ได้', 'อบอุ่น', '❤']"
<mask>เป็นติ่งรัฐบาลหรอ<mask> <mask><mask>มันจะเอาไปใช้ไปแดกกันเองอะแหละ <mask>,"['กําลังใจ', 'จังหวะทํานองติดหูมาก', 'อยากไป', 'อยากไป', 'อยากไป', 'อยากไปโยก', 'อยากไป', 'เลยค่ะเป็นเพลงที่', 'เราชอบ', 'มากๆๆ', 'ก็อยากจะไป', 'axเราไป', '✨']"
ใครก็ช่วยลบไอ้นี้ออกจากกลุ่มหน่อยครับ มันมา<mask><mask> แน่จริงมึงกล้าเอาเฟสจริงมาโพสต์ไหม,"['go', 'ไปเลยเอา', 'สวย', 'ไม่แพ้', 'ชอบ', 'ประทับใจ', '❤']"
<mask>อะตอนนี้,['มากค่ะ']
<mask>แล้วนะ <mask>นะ😭😭,[]
ครยังไม่มีที่เรียนเหมือนเราบ้าง #นี่เครียดหนักเลยย 😭😭😭 #คนยังไม่มีที่เรียน,"['ชอบ', 'มีความสุข', 'ข้าวราคาถูก']"
<mask>ยังไม่มีที่เรียน,"['ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', 'ขอบคุณม', 'ขอบคุณ']"
เศร้าเลย..สอบก็ไม่มีโอกาสแก้ตัวแล้วรอบเดียว <mask>ตัวเองที่ทำออกมา<mask>เอง,"['สุดยอด', 'คือความiconic', 'สวย', 'ซึ้ง', 'ดีจริง', 'เราจะไป']"
นี่<mask>กำลังใจเยอะแล้ว 😢,"['สุดยอด', 'สุดยอด', 'สุดยอดแล้ววว', 'สุดยอด']"
เว็บ<mask> <mask>เหมือนอนาคต5555,['น่ารัก']
<mask>แล้วตอนนี้,"['สุดยอด', 'สุดยอด', 'สุดยอดแล้ววว', 'สุดยอด']"
เยสเเม่ไอ้<mask>มาต่อยกับกูที่มาา<mask>มึงได้เเร้วเเละที่มึงเเหลงได้งัน,['อยากไป']
<mask>จังมึงว่าป่ะ!,"['หล่อ', 'หล่อ', 'หล่อ', 'หล่อ']"
ระบบ<mask> ทปอ. <mask> เห้ออ,"['ขอบคุณ', 'ขอบคุณสําหรับ', 'ขอบคุณ']"
ถ้าไม่ได้รอบแรกนี่แรงกดดันจากคนรอบข้างเยอะมากๆ ไม่รู้<mask>ไร อย่ามายุ่งกับกูเลยค่ะ ความรู้สึกเหมือนหนูทดลองที่กำลังโดนยาพิษแล้วกำลังจะตายในอีก3วัน7วัน อีห่ากูเหนื่อย กู<mask>,"['คนนึงที่เห็นกับการ', 'ตอนนี้ผมเลิกบุหรี่', 'ตอนนี้บอกได้เลยว่า', 'ขึ้นหายใจไม่ติดขัด']"
ไม่อยากจะเครียดนะแต่แบบ<mask>มันนึกถึงก็กลัวอ่ะ กลัวความ<mask>ๆ ยิ่งใกล้วันยิ่งกดดัน ขอให้ติดเถอะขอร้อง 😭,"['ฉ่ํา', 'นัก', 'นัก', 'นัก', 'นัก', 'อยากไป', 'สนใจ', 'แค่ไหนก็ไม่หวั่นค่ะ']"
ไม่ติดจริงๆเหรอวะ... ใจ<mask>ไปแล้ว แต่ถามว่ายังรอประกาศไหมนี่ก็ยังรออ่ะ,"['ทั้งนุ่มและป้องกันการ', 'มากแถมยัง', 'ง่าย']"
ใครจ่ายเงินแล้วกลับมาลังเลแบบเราอ่ะ ฮือออ เครียด กลัวหลุด จะเป็นบ้าแล้วทุกวันนี้ ฮือออออ 😭😭😭,"['สุดตรงประหยัดน้ํามัน', 'คุณภาพก็ต้องนี่เลย', 'ไปกันไป', 'เริ่ด', 'อยากมอบมง', 'ดีไซน์กะทัดรัด', 'ขอบคุณ']"
<mask>นายกอ่ะ <mask>ยยยย <mask>หหห <mask>งาน..ไม่ยากจน <mask>ดิ เศรษฐกิจ<mask>วายวอดแบบนี้ จะให้ทำงานอะไรก็ได้งั้นหรอ <mask>ๆๆๆ <mask>ดีแต่<mask>เหอะ ถ้าระบบTCASดีนัก รุ่นเราไม่เป็นแบบนี้หรอก มองโลกความเป็นจริงด้วย ฝากบอกทปอ.ด้วยไม่ใช่<mask>เก่งจ้า รอบล่ะคนละ100 เหอะๆ,"['ที่สุด', 'ด้วยความเบาบางเนียน', 'ได้ฟิว', 'ดุดันไม่แอลกอฮอล์', 'รับรองว่าไม่แพ้', 'ดีในราคา', 'ดีงาม', 'ใช้ง่าย', 'อยากดู', 'สะดวก', 'คุ้ม']"
โทษตัวเองล้วนๆ คือความ<mask>ร่าของตัวเองโดนแท้จริง ดูวันและเวลาผิด <mask>แต่ดีใจ<mask>เหตุแล้วเป็นไงละอีหอย โดนสละสิทธิ์ไง คือเจ็บจนพูดไม่ออก สู้ใหม่รอบ5เลยจร้า,"['ชอบ', 'เค้าจะเนื้อเบา', 'ติดทน', 'เราจะเป็นคราบ', 'กันเหงื่อด้วยแถมยัง', 'ชุ่มชื่น', '❤']"
โคตรสงสารตัวเองกับคนในรุ่น ที่เกิดมาเป็น เด็ก 61 ยังไม่ได้เรียนเลย<mask> พ่อแม่ก็หวังด้วย สงสารพ่อแม่,"['กําลังดี', 'ขอบคุณมาก', 'ขอบคุณมาก', 'ขอบคุณมาก', 'ขอบคุณมากครับพี่', 'ที่สําคัญราคา', 'ขอบคุณมาก', 'ส่วนตัวใช้มาสด้า2']"
โคตร<mask> <mask> <mask>ไม่ติดก็รออีก มีแต่รอ รอจน<mask><mask>ไปหมดละ แล้วเรื่องที่<mask>คุยที่สุดยิ่งกว่าเรื่องน้ำหนักก็เรื่องที่เรียนเนี่ยแหละโว้ยยย ไม่ต้องพูดถึงได้มั้ยทั้งเพื่อนพ่อแม่พี่น้อง <mask>คุย!! <mask> ร้องไห้,"['ที่สุด', 'ด้วยความเบาบางเนียน', 'ได้ฟิว', 'ดุดันไม่แอลกอฮอล์', 'รับรองว่าไม่แพ้', 'ดีในราคา', 'ดีงาม', 'ใช้ง่าย', 'อยากดู', 'สะดวก', 'คุ้ม']"
เห็นน้องไปโรงเรียน<mask>มากอี<mask> <mask>หันไปคุยกับใครได้เลย,"['ไปกันไป', 'ที่ไหนก็ไม่หวั่นห', 'รักเลยค่ะ', 'ชุ่มชื่น', 'สดชื่น', 'อยากกิน', 'มากเลยค่ะ', 'ติดใจ', 'เริ่ด']"
<mask>เลือกเรียน<mask>ชาวบ้านที่คอยห่วงใยอีกว่าทำไมถึงเรียน <mask>ตังก็ตังแม่กูปะวะ เป็นห่วงกูจริงจรีงงงงงงงงง เออกู<mask> กู<mask> กูขี้เกียจรอแล้ว กู<mask>ระบบทีแคส กู<mask>มึงด้วย ยู<mask>ววว,['อยากไป']
เหนื่อยจะรอแล้วนะจิงๆ เหมือนเอาเวลามานั่งมองเล่นๆเลย กู<mask>ไม่พอ กูต้องมาเดาอีกหรอว่าจะเลื่อนวันไปเมื่อไหร่อีก,"['ไปกันไป', 'ที่ไหนก็ไม่หวั่นห', 'รักเลยค่ะ', 'ชุ่มชื่น', 'สดชื่น', 'อยากกิน', 'มากเลยค่ะ', 'ติดใจ', 'เริ่ด']"
<mask>ชีวิตมากเลยค่ะ หน่วยงานจะทราบบ้างมั้ยคะว่าระบบมัน<mask>มาก,"['สนุกมาก', 'สุดยอด', '😍']"
<mask>กูมาสองวันเต็มๆแต่เพื่ออนาคตกูอ่ะ กูต้องยอมมมมม😭😭😭😭,['อยากไป']
<mask>ก็เยอะระบบสมัครก็<mask> <mask>,"['ก็สวย', 'ชอบ', 'ชอบ', 'ชอบ', 'ชอบเมนู', 'ชอบ', 'สดใส', 'ไม่เคยผิดหวัง', 'สวย', 'จัด']"
เลื่อนประกาศผลไปขนาดนี้รอบ4ประกาศ(19กค.) ซึ่งคาดว่าถึงตอนนั้นน่าจะ<mask>อีก ละเปิดเทอมสิงหา จะให้เด็กเอาเวลาไหนเตรียมตัวเข้าม. ไหนจะเรื่องหาหอ จองหอ ขึ้นทะเบียนนักศึกษา ระบบ<mask>แต่ความ<mask>อยู่ที่นักเรียน เลื่อนกำหนดการทุกอย่างแล้วเลื่อนเปิดเทอมด้วยเลยดิ...,"['ชอบ', 'เค้าจะเนื้อเบา', 'ติดทน', 'เราจะเป็นคราบ', 'กันเหงื่อด้วยแถมยัง', 'ชุ่มชื่น', '❤']"
เรียนเอกชนหรอทำไม<mask>จัง? <mask><mask>บ้านกูมีตังไอ<mask> How to ตอบกลับเด็ก<mask>ที่คิดว่าแน่,"['ขอบคุณนะ', 'ขอบคุณ', 'พวกนางจากใจ', 'าเราไป', 'สู้อีกเยอะแยะ']"
เป็นเด็ก<mask>เปิดฟังเพลงดนตรีไทยจนร้องไห้อ่ะ<mask>อินเข้าไปในเพลงได้แล้วเข้าใจทุกอย่างแล้ว เหมือนจะไบโพลาร์แล้วอ่ะ<mask>น,"['สุดยอด', 'คือความiconic', 'สวย', 'ซึ้ง', 'ดีจริง', 'เราจะไป']"
ชื่อแอพไหนได้บ้างคะ admission premiumก็อวยคะแนนกูซะจนเหมือนจะติด dek-d ก็กดคะแนนกูเหมือนยิ่งจมดินไปอี๊กกก😂,"['จะกิน', 'ก็ชอบ', 'อร่อย', 'ทิสุด']"
<mask>คือแม่เอาใบสมัครไปจ่ายผิดใบ 😩😭,"['ขอบคุณ', 'น่ารักมาก', 'หนูรัก']"
อยู่ๆก็เครียดจน<mask> การรอที่ยาวนาน<mask>สุขภาพจิตลามไปถึงสุขภาพกายจริงๆนะ อยากให้มันผ่านไปไวๆ เวลาคนมาถามเรียนที่ไหนนี่ยิ่งเป็นตัวกระตุ้นเลย ได้ยินแล้วอยากเอากำหนดการฟาดหน้า <mask> ไม่รู้อะไรก็อยู่เงียบๆไปดิ้ //หัวล้อนนน😭,"['ไปกันไป', 'ที่ไหนก็ไม่หวั่นห', 'รักเลยค่ะ', 'ชุ่มชื่น', 'สดชื่น', 'อยากกิน', 'มากเลยค่ะ', 'ติดใจ', 'เริ่ด']"
